Date,Time,Grid_Centroid,Number_Burrows,Number_Playback,Response_in_Gap,Number_Respond_in_Tape,Area_Surveyed,Callibration_Burrow,Burrow_per_m2,Wind,Rain,Slope,Grass_%,Boulder_%,Suitable_%,veg_height,Survey_Team,
22/05/2021,15:45,P_624,16,16,4,3,314,Y,0.050955414,Low,None,65,50,45,70,low,Roz_Freddie,Started 10m from centroid to avoid cliff
22/05/2021,09:28,P_529,20,20,11,0,314,Y,0.063694268,Low,None,30,50,40,60,low,Roz_Freddie,"Egg seen, no bird"
22/05/2021,14:24,P_623,20,20,11,0,314,Y,0.063694268,Low,None,35,40,30,30,low,Roz_Freddie,One burrow had 2 birds in playback response
22/05/2021,10:15,P_255,22,22,10,0,314,Y,0.070063694,Moderate,None,20,40,60,30,low,Luke_Josh,
22/05/2021,12:00,P_531,22,22,9,1,314,Y,0.070063694,Low,None,50,60,20,60,low,Roz_Freddie,"Endoscoped 10 burrows, found bird on 11th"
22/05/2021,17:15,P_757,22,22,11,2,314,Y,0.070063694,Moderate,Light,65,55,30,60,low,Roz_Freddie,
22/05/2021,16:30,P_713,24,24,17,0,314,Y,0.076433121,Low,None,60,65,25,60,low,Roz_Freddie,
22/05/2021,13:04,P_491,29,29,13,2,314,Y,0.092356688,Low,None,55,60,30,70,low,Roz_Freddie,
22/05/2021,12:13,P_227,34,27,7,1,314,Y,0.108280255,Moderate,None,25,20,40,20,low,Aimee_Tess,
22/05/2021,11:30,P_212,35,24,9,3,314,Y,0.111464968,Moderate,None,20,60,40,30,low,Luke_Josh,
22/05/2021,,P_240,36,26,8,2,314,Y,0.114649682,Moderate,None,30,50,10,40,low,Aimee_Tess,
22/05/2021,09:20,P_254,43,26,15,5,314,Y,0.136942675,Moderate,None,20,50,50,40,low,Luke_Josh,
22/05/2021,15:35,P_717,49,27,12,1,314,Y,0.156050955,Moderate,None,40,75,5,70,low,Aimee_Tess,
22/05/2021,13:45,P_764,56,21,11,1,314,Y,0.178343949,Moderate,None,70,75,10,60,low,Stu_Rich,
22/05/2021,14:48,P_807,64,21,11,0,314,Y,0.203821656,Moderate,None,70,75,10,60,low,Stu_Rich,
22/05/2021,09:44,P_630,81,24,11,1,314,Y,0.257961783,Moderate,None,50,70,20,70,low,Stu_Rich,
22/05/2021,11:24,P_719,104,29,13,2,314,Y,0.331210191,Moderate,None,60,70,20,70,low,Stu_Rich,
22/05/2021,17:25,P_804,117,31,8,3,314,Y,0.372611465,Moderate,None,30,60,40,70,low,Luke_Josh_Aimee_Tess,
22/05/2021,16:08,P_761,122,46,21,5,314,Y,0.388535032,Moderate,None,40,90,4,95,low,Aimee_Tess,
22/05/2021,17:30,P_849,123,38,14,1,314,Y,0.391719745,Moderate,None,70,90,10,90,low,Stu_Rich,
22/05/2021,14:30,P_674,129,35,17,2,314,Y,0.410828025,Moderate,None,30,70,30,70,low,Luke_Josh,
22/05/2021,16:08,P_850,141,57,16,4,314,Y,0.449044586,Moderate,None,60,85,10,75,low,Stu_Rich,
22/05/2021,16:05,P_718,183,46,19,5,314,Y,0.582802548,Moderate,None,30,80,20,70,low,Luke_Josh,
23/05/2021,09:38,P_756,21,21,10,3,314,Y,0.066878981,Low,None,30,70,30,60,low,Roz_Freddie,
23/05/2021,11:10,P_801,21,21,14,2,314,Y,0.066878981,Strong,None,55,40,25,45,low,Roz_Freddie,
23/05/2021,09:27,P_846,52,28,14,0,314,Y,0.165605096,Moderate,Light,25,85,5,85,low,Aimee_Tess,
23/05/2021,11:20,P_889,66,34,19,1,314,Y,0.210191083,Moderate,Light,55,70,15,75,low,Aimee_Tess,
23/05/2021,09:40,P_847,77,30,10,3,314,Y,0.24522293,Strong,None,25,70,30,60,low,Luke_Josh,
23/05/2021,11:10,P_931,83,27,17,2,314,Y,0.26433121,Strong,None,20,70,30,50,low,Luke_Josh,
23/05/2021,09:37,P_848,92,31,17,1,314,Y,0.292993631,Moderate,None,60,60,20,60,low,Stu_Rich,
23/05/2021,11:05,P_891,103,28,13,2,314,Y,0.328025478,High,Light,50,95,5,95,low,Stu_Rich,
20/05/2021,11:32,P_1440,48,48,19,2,157,N,0.305732484,Strong,Light,70,80,0,80,low,Aimee_Tess,
20/05/2021,11:20,P_1429,110,110,41,0,314,N,0.350318471,Strong,Light,40,80,5,75,low,Lucy_Rona,
20/05/2021,11:40,P_1396,82,82,4,30,157,N,0.522292994,Strong,Light,70,80,0,80,low,Stu_Rich,
23/05/2021,13:10,P_885,11,11,7,2,314,N,0.035031847,Strong,Light,45,40,25,50,low,Roz_Freddie,
23/05/2021,10:15,P_800,26,26,7,0,314,N,0.082802548,Moderate,Light,55,50,30,60,low,Roz_Freddie,
23/05/2021,12:16,P_843,31,31,15,0,314,N,0.098726115,Strong,None,40,80,10,50,low,Roz_Freddie,2 Birds respond in gap
23/05/2021,13:42,P_886,39,39,21,0,314,N,0.124203822,Strong,Moderate,45,60,25,65,low,Roz_Freddie,
23/05/2021,13:10,P_673,58,30,7,1,314,N,0.184713376,Strong,Moderate,30,80,20,50,low,Luke_Josh,
23/05/2021,12:20,P_932,68,33,22,3,314,N,0.21656051,Strong,None,30,90,10,90,low,Luke_Josh,
23/05/2021,13:43,P_805,78,26,10,2,314,N,0.248407643,Moderate,Heavy,50,50,30,40,low,Stu_Rich,
23/05/2021,12:30,P_890,151,42,15,1,314,N,0.48089172,Strong,None,45,70,20,80,low,Aimee_Tess,
23/05/2021,12:00,P_892,161,38,18,0,314,N,0.512738854,High,Light,60,75,5,60,low,Stu_Rich,
24/05/2021,17:41,P_933,53,26,10,4,314,N,0.168789809,High,None,70,95,3,95,low,Aimee_Tess,
24/05/2021,17:35,P_928,66,29,6,2,314,N,0.210191083,Strong,None,40,60,30,60,low,Roz_Freddie,
24/05/2021,16:15,P_762,86,24,9,2,314,N,0.27388535,High,None,70,80,10,60,low,Stu_Rich,
24/05/2022,17:15,P_587,29,21,6,0,314,N,0.092356688,Moderate,None,10,30,70,30,low,Luke_Josh,
25/05/2021,13:53,P_1153,27,24,1,2,314,N,0.085987261,Low,None,60,40,40,70,low,Roz_Freddie,
25/05/2021,17:20,P_725,28,25,8,1,314,N,0.089171975,Moderate,None,25,30,70,20,low,Luke_Josh,
25/05/2021,17:37,P_723,38,20,11,1,314,N,0.121019108,Low,None,65,75,10,30,low,Stu_Rich,
25/05/2021,14:50,P_1160,42,25,12,2,314,N,0.133757962,Moderate,None,50,70,30,70,low,Roz_Freddie,
25/05/2021,17:52,P_1008,53,28,17,1,314,N,0.168789809,Low,None,45,60,30,60,low,Roz_Freddie,
25/05/2021,13:11,P_1085,56,27,14,4,314,N,0.178343949,Low,None,60,70,10,70,low,Aimee_Tess,
25/05/2021,14:50,P_734,57,20,7,0,314,N,0.181528662,Moderate,None,80,70,0,30,low,Stu_Rich,
25/05/2021,14:38,P_1127,69,39,16,3,314,N,0.219745223,Low,None,75,60,10,70,low,Aimee_Tess,
25/05/2021,16:06,P_735,72,20,8,2,314,N,0.229299363,Moderate,None,75,50,40,40,low,Stu_Rich,
25/05/2021,15:25,P_691,74,35,17,4,314,N,0.23566879,Moderate,None,40,95,5,90,low,Luke_Josh,
25/05/2021,15:53,P_1175,75,33,16,5,314,N,0.238853503,Moderate,None,50,85,15,85,low,Aimee_Tess,
25/05/2021,13:10,P_688,78,35,15,1,314,N,0.248407643,Moderate,None,30,90,10,80,low,Luke_Josh,
25/05/2021,12:50,P_863,78,21,12,1,314,N,0.248407643,Moderate,None,45,80,10,70,low,Stu_Rich,
25/05/2021,15:36,P_1166,80,32,9,1,314,N,0.25477707,Moderate,None,50,40,40,50,low,Roz_Freddie,
25/05/2021,16:00,P_692,85,26,18,2,314,N,0.270700637,Moderate,None,40,95,5,90,low,Luke_Josh,
25/05/2021,16:45,P_1182,95,35,12,2,314,N,0.302547771,Strong,None,50,74,10,85,low,Aimee_Tess,
25/05/2021,13:50,P_689,105,28,14,1,314,N,0.334394904,Moderate,None,40,95,5,90,low,Luke_Josh,
25/05/2021,14:00,P_775,109,27,12,1,314,N,0.347133758,Moderate,None,80,80,10,70,low,Stu_Rich,
25/05/2021,14:40,P_690,113,30,6,2,314,N,0.359872611,Moderate,None,40,95,5,90,low,Luke_Josh,
25/05/2021,18:15,P_675,126,32,11,2,314,N,0.401273885,Moderate,None,50,60,40,50,low,Stu_Rich,
25/05/2021,13:44,P_820,129,32,17,2,314,N,0.410828025,Moderate,None,60,90,5,80,low,Stu_Rich,
26/05/2021,11:24,P_968,72,31,20,1,314,N,0.229299363,Low,None,30,75,20,80,low,Roz_Freddie,
26/05/2021,12:15,P_969,62,30,14,0,314,N,0.197452229,Low,None,55,40,30,50,low,Roz_Freddie,
26/05/2021,13:45,P_1007,86,33,17,0,314,N,0.27388535,Low,None,35,60,30,70,low,Roz_Freddie,
26/05/2021,15:06,P_1009,51,27,16,1,314,N,0.162420382,Low,None,65,40,30,50,low,Roz_Freddie,
26/05/2021,16:05,P_1010,49,27,18,1,314,N,0.156050955,Low,None,40,60,20,70,low,Roz_Freddie,
26/05/2021,17:01,P_927,27,21,6,1,314,N,0.085987261,Low,None,40,60,25,50,low,Roz_Freddie,
26/05/2021,17:49,P_887,112,37,20,4,314,N,0.356687898,Low,None,35,65,30,70,low,Roz_Freddie,
26/05/2021,12:06,P_809,113,28,13,3,314,N,0.359872611,Moderate,None,80,90,10,80,med,Stu_Rich,
26/05/2021,12:45,P_767,90,23,11,1,314,N,0.286624204,Moderate,None,60,60,30,50,med,Stu_Rich,
26/05/2021,14:05,P_766,74,20,7,1,314,N,0.23566879,Moderate,None,60,60,25,45,med,Stu_Rich,
26/05/2021,14:45,P_765,70,20,11,0,314,N,0.222929936,Moderate,None,30,75,5,50,low,Stu_Rich,
26/05/2021,15:30,P_808,111,28,13,0,314,N,0.353503185,Moderate,None,20,90,10,75,low,Stu_Rich,
26/05/2021,17:04,P_936,52,20,8,0,314,N,0.165605096,Low,None,75,80,20,30,low,Stu_Rich,
26/05/2021,12:39,P_776,72,33,11,6,314,N,0.229299363,Low,None,35,75,15,80,low,Aimee_Tess,
26/05/2021,13:51,P_777,64,33,14,4,314,N,0.203821656,Low,None,50,95,2,90,low,Aimee_Tess,
26/05/2021,14:14,P_778,140,35,16,2,314,N,0.445859873,Low,None,60,90,5,90,low,Aimee_Tess,
26/05/2021,15:39,P_779,118,31,18,5,314,N,0.375796178,Low,None,45,60,15,60,low,Aimee_Tess,
26/05/2021,16:30,P_824,65,31,15,3,314,N,0.207006369,Low,None,40,60,30,50,low,Aimee_Tess,
26/05/2021,12:20,P_693,65,31,5,2,314,N,0.207006369,Low,None,45,60,40,40,low,Luke_Josh,
26/05/2021,14:00,P_697,54,28,10,2,314,N,0.171974522,Low,None,15,40,60,50,low,Luke_Josh,
26/05/2021,15:00,P_742,113,30,9,0,314,N,0.359872611,Low,None,30,40,60,50,low,Luke_Josh,
26/05/2021,15:45,P_743,107,28,9,4,314,N,0.340764331,Low,None,70,30,70,30,low,Luke_Josh,
26/05/2021,16:35,P_784,187,48,25,2,314,N,0.595541401,Low,None,20,70,30,80,low,Luke_Josh,
28/05/2021,10:10,P_577,15,15,3,0,314,N,0.047770701,Low,None,30,40,40,30,low,Roz_Freddie,
28/05/2021,09:52,P_712,2,2,0,1,314,N,0.006369427,Low,None,25,40,20,40,low,Roz_Freddie,
28/05/2021,10:45,P_530,6,6,2,1,314,N,0.01910828,Low,None,30,35,30,30,low,Roz_Freddie,
27/05/2021,11:00,P_1183,68,32,16,0,314,N,0.21656051,Low,None,35,70,30,75,low,Roz_Freddie,
27/05/2021,12:01,P_1177,78,33,12,1,314,N,0.248407643,Low,None,25,60,35,70,low,Roz_Freddie,
27/05/2021,13:02,P_1170,99,40,16,1,314,N,0.315286624,Low,None,65,65,30,70,low,Roz_Freddie,
27/05/2021,14:22,P_1162,77,30,21,1,314,N,0.24522293,Low,None,30,60,20,70,low,Roz_Freddie,
27/05/2021,15:41,P_1176,75,32,8,0,314,N,0.238853503,Low,None,40,65,35,70,low,Roz_Freddie,
27/05/2021,16:56,P_1181,60,29,13,1,314,N,0.191082803,Low,None,50,50,30,55,low,Roz_Freddie,
27/05/2021,11:00,P_783,113,30,9,3,314,N,0.359872611,Low,None,20,80,20,80,low,Luke_Josh,
27/05/2021,11:50,P_739,65,31,12,1,314,N,0.207006369,Low,None,30,60,40,40,low,Luke_Josh,
27/05/2021,13:00,P_738,43,26,7,2,314,N,0.136942675,Low,None,30,80,20,60,low,Luke_Josh,
27/05/2021,14:00,P_871,93,24,9,1,314,N,0.296178344,Low,None,15,60,40,60,low,Luke_Josh,
27/05/2021,15:00,P_829,65,31,14,1,314,N,0.207006369,Low,None,20,40,60,70,low,Luke_Josh,
27/05/2021,16:25,P_830,124,35,13,4,314,N,0.394904459,Low,None,25,30,70,40,low,Luke_Josh,
27/05/2021,17:10,P_831,68,32,17,0,314,N,0.21656051,Low,None,20,60,40,70,low,Luke_Josh,
28/05/2021,10:05,P_305,6,6,1,1,314,N,0.01910828,Moderate,None,15,90,10,10,low,Luke_Josh,
28/05/2021,10:20,P_281,6,6,3,0,314,N,0.01910828,Low,None,20,30,70,10,low,Luke_Josh,
