plot_id,xcoord,ycoord,Lat,Long,Date,Time,Number_Burrows,Number_Playback,Response_in_Gap,Number_Respond_in_Tape,Area_Surveyed,Callibration_Burrow,Burrow_per_m2,Wind,Rain,Slope,Grass_.,Boulder_.,Suitable_.,veg_height
P_212,-702816.4662,7758647.241,56.99280021156869,-6.31350773518331,22/05/2021,11:30,35,24,9,3,314,Y,0.111464968,Moderate,None,20,60,40,30,low
P_227,-702716.4662,7758547.241,56.99231085611497,-6.312609419899191,22/05/2021,12:13,34,27,7,1,314,Y,0.108280255,Moderate,None,25,20,40,20,low
P_240,-702616.4662,7758647.241,56.99280021156869,-6.311711104615071,22/05/2021,,36,26,8,2,314,Y,0.114649682,Moderate,None,30,50,10,40,low
P_254,-702516.4662,7758647.241,56.99280021156869,-6.310812789330951,22/05/2021,09:20,43,26,15,5,314,Y,0.136942675,Moderate,None,20,50,50,40,low
P_255,-702516.4662,7758547.241,56.99231085611497,-6.310812789330951,22/05/2021,10:15,22,22,10,0,314,Y,0.070063694,Moderate,None,20,40,60,30,low
P_268,-702416.4662,7758547.241,56.99231085611497,-6.309914474046832,28/05/2021,10:30,11,11,5,2,314,N,0.035031847,Moderate,None,15,75,25,10,low
P_281,-702316.4662,7758547.241,56.99231085611497,-6.309016158762713,28/05/2021,10:20,6,6,3,0,314,N,0.01910828,Low,None,20,30,70,10,low
P_305,-702116.4662,7758547.241,56.99231085611497,-6.307219528194474,28/05/2021,10:05,6,6,1,1,314,N,0.01910828,Moderate,None,15,90,10,10,low
P_491,-700716.4662,7758047.241,56.98986398233408,-6.2946431142168,22/05/2021,13:04,29,29,13,2,314,Y,0.092356688,Low,None,55,60,30,70,low
P_529,-700616.4662,7758247.241,56.9908427511491,-6.293744798932681,22/05/2021,09:28,20,20,11,0,314,Y,0.063694268,Low,None,30,50,40,60,low
P_530,-700616.4662,7758147.241,56.99035336995873,-6.293744798932681,28/05/2021,10:45,6,6,2,1,314,N,0.01910828,Low,None,30,35,30,30,low
P_531,-700616.4662,7758047.241,56.98986398233408,-6.293744798932681,22/05/2021,12:00,22,22,9,1,314,Y,0.070063694,Low,None,50,60,20,60,low
P_536,-700616.4662,7757547.241,56.987416947694896,-6.293744798932681,28/05/2021,12:12,10,10,8,0,314,N,0.031847134,Low,None,70,75,0,25,low
P_577,-700516.4662,7757947.241,56.989374588275105,-6.292846483648561,28/05/2021,10:10,15,15,3,0,314,N,0.047770701,Low,None,30,40,40,30,low
P_582,-700516.4662,7757447.241,56.986927521463514,-6.292846483648561,28/05/2021,11:59,3,3,1,0,314,N,0.00955414,Low,None,50,20,0,10,low
P_583,-700516.4662,7757347.241,56.986438088797506,-6.292846483648561,28/05/2021,11:48,3,3,0,0,314,N,0.00955414,Low,None,40,30,0,15,low
P_587,-700516.4662,7756947.241,56.98448029378628,-6.292846483648561,24/05/2022,17:15,29,21,6,0,314,N,0.092356688,Moderate,None,10,30,70,30,low
P_623,-700416.4662,7757847.241,56.98888518778175,-6.291948168364441,22/05/2021,14:24,20,20,11,0,314,Y,0.063694268,Low,None,35,40,30,30,low
